日時,レース名,グレード,着順,馬名,年齢,騎手,調教師
2020年4月4日,ダービー卿チャレンジトロフィー,GⅢ,9,ブラックムーン,牡8,吉田 豊,西浦 勝一
2020年4月4日,ダービー卿チャレンジトロフィー,GⅢ,10,ジャンダルム,牡5,藤井 勘一郎,池江 泰寿
2020年4月4日,ダービー卿チャレンジトロフィー,GⅢ,11,トーラスジェミニ,牡4,木幡 育也,小桧山 悟
2020年4月4日,ダービー卿チャレンジトロフィー,GⅢ,12,エメラルファイト,牡4,石川 裕紀人,相沢 郁
2020年4月4日,ダービー卿チャレンジトロフィー,GⅢ,13,ペプチドバンブー,牡5,松田 大作,武 英智
2020年4月4日,ダービー卿チャレンジトロフィー,GⅢ,14,マイスタイル,牡6,横山 典弘,昆 貢
2020年4月4日,ダービー卿チャレンジトロフィー,GⅢ,15,ムーンクエイク,せん7,北村 宏司,藤沢 和雄
2020年4月4日,ダービー卿チャレンジトロフィー,GⅢ,16,ナインテイルズ,牡9,野中 悠太郎,長谷川 浩大
2020年4月5日,大阪杯,GⅠ,1,ラッキーライラック,牝5,M.デムーロ,松永 幹夫
2020年4月5日,大阪杯,GⅠ,2,クロノジェネシス,牝4,北村 友一,斉藤 崇史
2020年4月5日,大阪杯,GⅠ,3,ダノンキングリー,牡4,横山 典弘,萩原 清
2020年4月5日,大阪杯,GⅠ,4,カデナ,牡6,鮫島 克駿,中竹 和也
2020年4月5日,大阪杯,GⅠ,5,ワグネリアン,牡5,福永 祐一,友道 康夫
2020年4月5日,大阪杯,GⅠ,6,ジナンボー,牡5,藤岡 佑介,堀 宣行
2020年4月5日,大阪杯,GⅠ,7,ブラストワンピース,牡5,川田 将雅,大竹 正博
2020年4月5日,大阪杯,GⅠ,8,レッドジェニアル,牡4,酒井 学,高橋 義忠
2020年4月5日,大阪杯,GⅠ,9,ステイフーリッシュ,牡5,岩田 康誠,矢作 芳人
2020年4月5日,大阪杯,GⅠ,10,サトノソルタス,牡5,藤岡 康太,堀 宣行
2020年4月5日,大阪杯,GⅠ,11,マカヒキ,牡7,L.ヒューイットソン,友道 康夫
2020年4月5日,大阪杯,GⅠ,12,ロードマイウェイ,牡4,武 豊,杉山 晴紀
2020年4月11日,ニュージーランドトロフィー,GⅡ,1,ルフトシュトローム,牡3,石橋 脩,堀 宣行
2020年4月11日,ニュージーランドトロフィー,GⅡ,2,シーズンズギフト,牝3,津村 明秀,黒岩 陽一
2020年4月11日,ニュージーランドトロフィー,GⅡ,3,ウイングレイテスト,牡3,横山 武史,青木 孝文
2020年4月11日,ニュージーランドトロフィー,GⅡ,4,アブソルティスモ,牡3,北村 宏司,藤沢 和雄
2020年4月11日,ニュージーランドトロフィー,GⅡ,5,ソウルトレイン,牡3,田辺 裕信,西村 真幸
2020年4月11日,ニュージーランドトロフィー,GⅡ,6,ハーモニーマゼラン,牡3,大野 拓弥,牧 光二
2020年4月11日,ニュージーランドトロフィー,GⅡ,7,オーロラフラッシュ,牝3,C.ルメール,藤沢 和雄
2020年4月11日,ニュージーランドトロフィー,GⅡ,8,コウソクスピード,牡3,丸山 元気,中舘 英二
2020年4月11日,ニュージーランドトロフィー,GⅡ,9,グレイトホーン,牡3,野中 悠太郎,根本 康広
2020年4月11日,ニュージーランドトロフィー,GⅡ,10,マイネルグリット,牡3,国分 優作,吉田 直弘
2020年4月11日,ニュージーランドトロフィー,GⅡ,11,シャチ,牡3,山田 敬士,小桧山 悟
2020年4月11日,ニュージーランドトロフィー,GⅡ,12,フルートフルデイズ,牝3,木幡 巧也,浜田 多実雄
2020年4月11日,ニュージーランドトロフィー,GⅡ,13,カリオストロ,牝3,L.ヒューイットソン,加用 正
2020年4月11日,ニュージーランドトロフィー,GⅡ,14,ソングオブザハート,牝3,川又 賢治,寺島 良
2020年4月11日,ニュージーランドトロフィー,GⅡ,15,ペールエール,牡3,北村 友一,安田 隆行
2020年4月11日,ニュージーランドトロフィー,GⅡ,16,カフェサンドリヨン,牝3,内田 博幸,古賀 慎明
2020年4月11日,サンケイスポーツ杯阪神牝馬ステークス,GⅡ,1,サウンドキアラ,牝5,松山 弘平,安達 昭夫
2020年4月11日,サンケイスポーツ杯阪神牝馬ステークス,GⅡ,2,スカーレットカラー,牝5,岩田 康誠,高橋 亮
2020年4月11日,サンケイスポーツ杯阪神牝馬ステークス,GⅡ,3,ディメンシオン,牝6,松田 大作,藤原 英昭
2020年4月11日,サンケイスポーツ杯阪神牝馬ステークス,GⅡ,4,ビーチサンバ,牝4,福永 祐一,友道 康夫
2020年4月11日,サンケイスポーツ杯阪神牝馬ステークス,GⅡ,5,ダノンファンタジー,牝4,川田 将雅,中内田 充正
2020年4月11日,サンケイスポーツ杯阪神牝馬ステークス,GⅡ,6,リバティハイツ,牝5,藤岡 佑介,高野 友和
2020年4月11日,サンケイスポーツ杯阪神牝馬ステークス,GⅡ,7,プールヴィル,牝4,浜中 俊,庄野 靖志
2020年4月11日,サンケイスポーツ杯阪神牝馬ステークス,GⅡ,8,ブランノワール,牝4,武 豊,須貝 尚介
2020年4月11日,サンケイスポーツ杯阪神牝馬ステークス,GⅡ,9,サトノガーネット,牝5,川島 信二,矢作 芳人
2020年4月11日,サンケイスポーツ杯阪神牝馬ステークス,GⅡ,10,テーオービクトリー,牝6,太宰 啓介,岡田 稲男
2020年4月11日,サンケイスポーツ杯阪神牝馬ステークス,GⅡ,11,メジェールスー,牝5,岩田 望来,藤原 英昭
2020年4月11日,サンケイスポーツ杯阪神牝馬ステークス,GⅡ,12,シャドウディーヴァ,牝4,池添 謙一,斎藤 誠
2020年4月11日,サンケイスポーツ杯阪神牝馬ステークス,GⅡ,13,ノーワン,牝4,坂井 瑠星,笹田 和秀
2020年4月11日,サンケイスポーツ杯阪神牝馬ステークス,GⅡ,14,アマルフィコースト,牝5,幸 英明,牧田 和弥
2020年4月11日,サンケイスポーツ杯阪神牝馬ステークス,GⅡ,15,トロワゼトワル,牝5,藤岡 康太,安田 隆行
2020年4月11日,サンケイスポーツ杯阪神牝馬ステークス,GⅡ,16,シゲルピンクダイヤ,牝4,M.デムーロ,渡辺 薫彦
2020年4月12日,桜花賞,GⅠ,1,デアリングタクト,牝3,松山 弘平,杉山 晴紀
2020年4月12日,桜花賞,GⅠ,2,レシステンシア,牝3,武 豊,松下 武士
2020年4月12日,桜花賞,GⅠ,3,スマイルカナ,牝3,柴田 大知,高橋 祥泰
2020年4月12日,桜花賞,GⅠ,4,クラヴァシュドール,牝3,M.デムーロ,中内田 充正
2020年4月12日,桜花賞,GⅠ,5,ミヤマザクラ,牝3,福永 祐一,藤原 英昭
2020年4月12日,桜花賞,GⅠ,6,サンクテュエール,牝3,C.ルメール,藤沢 和雄
2020年4月12日,桜花賞,GⅠ,7,フィオリキアリ,牝3,藤井 勘一郎,清水 久詞
2020年4月12日,桜花賞,GⅠ,8,マルターズディオサ,牝3,田辺 裕信,手塚 貴久
2020年4月12日,桜花賞,GⅠ,9,エーポス,牝3,岩田 康誠,北出 成人
2020年4月12日,桜花賞,GⅠ,10,リアアメリア,牝3,川田 将雅,中内田 充正
2020年4月12日,桜花賞,GⅠ,11,チェーンオブラブ,牝3,石橋 脩,小笠 倫弘
2020年4月12日,桜花賞,GⅠ,12,マジックキャッスル,牝3,浜中 俊,国枝 栄
2020年4月12日,桜花賞,GⅠ,13,ケープコッド,牝3,岩田 望来,高柳 瑞樹
2020年4月12日,桜花賞,GⅠ,14,インターミッション,牝3,石川 裕紀人,手塚 貴久
2020年4月12日,桜花賞,GⅠ,15,ヒルノマリブ,牝3,北村 友一,北出 成人
2020年4月12日,桜花賞,GⅠ,16,ウーマンズハート,牝3,藤岡 康太,西浦 勝一
2020年4月12日,桜花賞,GⅠ,17,ナイントゥファイブ,牝3,松田 大作,西園 正都
2020年4月12日,桜花賞,GⅠ,18,ヤマカツマーメイド,牝3,池添 謙一,池添 兼雄
2020年4月18日,農林水産省賞典 中山グランドジャンプ,J・GⅠ,1,オジュウチョウサン,牡9,石神 深一,和田 正一郎
2020年4月18日,農林水産省賞典 中山グランドジャンプ,J・GⅠ,2,メイショウダッサイ,牡7,森 一馬,飯田 祐史
2020年4月18日,農林水産省賞典 中山グランドジャンプ,J・GⅠ,3,ブライトクォーツ,牡6,西谷 誠,荒川 義之
2020年4月18日,農林水産省賞典 中山グランドジャンプ,J・GⅠ,4,シンキングダンサー,牡7,五十嵐 雄祐,武市 康男
2020年4月18日,農林水産省賞典 中山グランドジャンプ,J・GⅠ,5,アズマタックン,牡7,小坂 忠士,加用 正
2020年4月18日,農林水産省賞典 中山グランドジャンプ,J・GⅠ,6,ヒロシゲセブン,牡5,高田 潤,北出 成人
2020年4月18日,農林水産省賞典 中山グランドジャンプ,J・GⅠ,7,コスモロブロイ,牡5,草野 太郎,伊藤 伸一
2020年4月18日,農林水産省賞典 中山グランドジャンプ,J・GⅠ,8,ユイノシンドバッド,牡5,大江原 圭,竹内 正洋
2020年4月18日,農林水産省賞典 中山グランドジャンプ,J・GⅠ,中止,シングンマイケル,せん6,金子 光希,大江原 哲
2020年4月18日,農林水産省賞典 中山グランドジャンプ,J・GⅠ,中止,メドウラーク,牡9,北沢 伸也,橋田 満
2020年4月18日,農林水産省賞典 中山グランドジャンプ,J・GⅠ,中止,セガールフォンテン,牡10,上野 翔,石毛 善彦
2020年4月18日,アーリントンカップ,GⅢ,1,タイセイビジョン,牡3,石橋 脩,西村 真幸
2020年4月18日,アーリントンカップ,GⅢ,2,ギルデッドミラー,牝3,岩田 望来,松永 幹夫
2020年4月18日,アーリントンカップ,GⅢ,3,プリンスリターン,牡3,原田 和真,加用 正
2020年4月18日,アーリントンカップ,GⅢ,4,ボンオムトゥック,牝3,藤岡 佑介,高橋 亮
2020年4月18日,アーリントンカップ,GⅢ,5,トリプルエース,牡3,川田 将雅,斉藤 崇史
2020年4月18日,アーリントンカップ,GⅢ,6,ジュンライトボルト,牡3,藤井 勘一郎,友道 康夫
2020年4月18日,アーリントンカップ,GⅢ,7,リインフォース,牡3,泉谷 楓真,石坂 公一
2020年4月18日,アーリントンカップ,GⅢ,8,チュウワノキセキ,牡3,浜中 俊,大久保 龍志
2020年4月18日,アーリントンカップ,GⅢ,9,グランレイ,牡3,太宰 啓介,池添 学
2020年4月18日,アーリントンカップ,GⅢ,10,ロードベイリーフ,牡3,坂井 瑠星,森田 直行
2020年4月18日,アーリントンカップ,GⅢ,11,デュードヴァン,牡3,三浦 皇成,加藤 征弘
2020年4月18日,アーリントンカップ,GⅢ,12,ノルカソルカ,牡3,幸 英明,藤岡 健一
2020年4月19日,皐月賞,GⅠ,1,コントレイル,牡3,福永 祐一,矢作 芳人
2020年4月19日,皐月賞,GⅠ,2,サリオス,牡3,D.レーン,堀 宣行
2020年4月19日,皐月賞,GⅠ,3,ガロアクリーク,牡3,L.ヒューイットソン,上原 博之
2020年4月19日,皐月賞,GⅠ,4,ウインカーネリアン,牡3,田辺 裕信,鹿戸 雄一
2020年4月19日,皐月賞,GⅠ,5,サトノフラッグ,牡3,C.ルメール,国枝 栄
2020年4月19日,皐月賞,GⅠ,6,ダーリントンホール,牡3,M.デムーロ,木村 哲也
2020年4月19日,皐月賞,GⅠ,7,コルテジア,牡3,松山 弘平,鈴木 孝志
2020年4月19日,皐月賞,GⅠ,8,ヴェルトライゼンデ,牡3,池添 謙一,池江 泰寿
2020年4月19日,皐月賞,GⅠ,9,ブラックホール,牡3,石川 裕紀人,相沢 郁
2020年4月19日,皐月賞,GⅠ,10,ディープボンド,牡3,横山 典弘,大久保 龍志
2020年4月19日,皐月賞,GⅠ,11,レクセランス,牡3,北村 友一,池添 学
2020年4月19日,皐月賞,GⅠ,12,アメリカンシード,牡3,丸山 元気,藤岡 健一
2020年4月19日,皐月賞,GⅠ,13,マイラプソディ,牡3,武 豊,友道 康夫
2020年4月19日,皐月賞,GⅠ,14,ビターエンダー,牡3,津村 明秀,相沢 郁
2020年4月19日,皐月賞,GⅠ,15,ラインベック,牡3,岩田 康誠,友道 康夫
2020年4月19日,皐月賞,GⅠ,16,クリスタルブラック,牡3,吉田 豊,高橋 文雅
2020年4月19日,皐月賞,GⅠ,17,キメラヴェリテ,牡3,藤岡 康太,中竹 和也
2020年4月19日,皐月賞,GⅠ,18,テンピン,牡3,中井 裕二,安田 隆行
2020年4月19日,アンタレスステークス,GⅢ,1,ウェスタールンド,せん8,藤岡 佑介,佐々木 晶三
2020年4月19日,アンタレスステークス,GⅢ,2,アナザートゥルース,せん6,大野 拓弥,高木 登
2020年4月19日,アンタレスステークス,GⅢ,3,クリンチャー,牡6,石橋 脩,宮本 博
2020年4月19日,アンタレスステークス,GⅢ,4,リワードアンヴァル,牡4,三浦 皇成,藤原 辰雄
2020年4月19日,アンタレスステークス,GⅢ,5,コマビショウ,牡5,松若 風馬,南井 克巳
2020年4月19日,アンタレスステークス,GⅢ,6,サトノプライム,牡6,古川 吉洋,南井 克巳
2020年4月19日,アンタレスステークス,GⅢ,7,アングライフェン,牡8,藤井 勘一郎,安田 隆行
2020年4月19日,アンタレスステークス,GⅢ,8,ロードゴラッソ,牡5,浜中 俊,藤岡 健一
2020年4月19日,アンタレスステークス,GⅢ,9,メイショウスミトモ,牡9,小牧 太,南井 克巳
2020年4月19日,アンタレスステークス,GⅢ,10,モズアトラクション,牡6,幸 英明,松下 武士
2020年4月19日,アンタレスステークス,GⅢ,11,ナムラアラシ,牡7,坂井 瑠星,牧田 和弥
2020年4月19日,アンタレスステークス,GⅢ,12,ノーブルサターン,牡6,高倉 稜,牧浦 充徳
2020年4月19日,アンタレスステークス,GⅢ,13,ワイルドカード,牡6,岩田 望来,木村 哲也
2020年4月19日,アンタレスステークス,GⅢ,14,ベストタッチダウン,牡4,川田 将雅,橋口 慎介
2020年4月19日,アンタレスステークス,GⅢ,15,ルールソヴァール,せん8,松田 大作,高木 登
2020年4月19日,アンタレスステークス,GⅢ,16,メイショウワザシ,牡5,秋山 真一郎,南井 克巳
2020年4月25日,福島牝馬ステークス,GⅢ,1,フェアリーポルカ,牝4,和田 竜二,西村 真幸
2020年4月25日,福島牝馬ステークス,GⅢ,2,リープフラウミルヒ,牝5,丹内 祐次,相沢 郁
2020年4月25日,福島牝馬ステークス,GⅢ,3,ランドネ,牝5,西村 淳也,角居 勝彦
2020年4月25日,福島牝馬ステークス,GⅢ,4,カリビアンゴールド,牝6,秋山 真一郎,鮫島 一歩
2020年4月25日,福島牝馬ステークス,GⅢ,5,サラキア,牝5,吉田 隼人,池添 学
2020年4月25日,福島牝馬ステークス,GⅢ,6,レッドアネモス,牝4,酒井 学,友道 康夫
2020年4月25日,福島牝馬ステークス,GⅢ,7,フィリアプーラ,牝4,丸山 元気,菊沢 隆徳
2020年4月25日,福島牝馬ステークス,GⅢ,8,リュヌルージュ,牝5,団野 大成,斉藤 崇史
2020年4月25日,福島牝馬ステークス,GⅢ,9,マルシュロレーヌ,牝4,坂井 瑠星,矢作 芳人
2020年4月25日,福島牝馬ステークス,GⅢ,10,ハーレムライン,牝5,柴山 雄一,田中 清隆
2020年4月25日,福島牝馬ステークス,GⅢ,11,アロハリリー,牝5,中谷 雄太,高野 友和
2020年4月25日,福島牝馬ステークス,GⅢ,12,エスポワール,牝4,池添 謙一,角居 勝彦
2020年4月25日,福島牝馬ステークス,GⅢ,13,デンコウアンジュ,牝7,柴田 善臣,荒川 義之
2020年4月25日,福島牝馬ステークス,GⅢ,14,ショウナンバビアナ,牝4,鮫島 克駿,上原 博之
2020年4月25日,福島牝馬ステークス,GⅢ,15,ダノングレース,牝5,斎藤 新,国枝 栄
2020年4月25日,福島牝馬ステークス,GⅢ,16,モルフェオルフェ,牝5,木幡 育也,大江原 哲
2020年4月26日,サンケイスポーツ賞フローラステークス,GⅡ,1,ウインマリリン,牝3,横山 武史,手塚 貴久
2020年4月26日,サンケイスポーツ賞フローラステークス,GⅡ,2,ホウオウピースフル,牝3,D.レーン,大竹 正博
2020年4月26日,サンケイスポーツ賞フローラステークス,GⅡ,3,フアナ,牝3,L.ヒューイットソン,角居 勝彦
2020年4月26日,サンケイスポーツ賞フローラステークス,GⅡ,4,ショウナンハレルヤ,牝3,田辺 裕信,矢野 英一
2020年4月26日,サンケイスポーツ賞フローラステークス,GⅡ,5,スカイグルーヴ,牝3,C.ルメール,木村 哲也
2020年4月26日,サンケイスポーツ賞フローラステークス,GⅡ,6,シャレード,牝3,岡田 祥嗣,藤原 英昭
2020年4月26日,サンケイスポーツ賞フローラステークス,GⅡ,7,レッドルレーヴ,牝3,M.デムーロ,藤沢 和雄
2020年4月26日,サンケイスポーツ賞フローラステークス,GⅡ,8,ルトロヴァイユ,牝3,吉田 豊,竹内 正洋
2020年4月26日,サンケイスポーツ賞フローラステークス,GⅡ,9,ヒューマンコメディ,牝3,武藤 雅,水野 貴広
2020年4月26日,サンケイスポーツ賞フローラステークス,GⅡ,10,ヴォリアーモ,牝3,三浦 皇成,木村 哲也
2020年4月26日,サンケイスポーツ賞フローラステークス,GⅡ,11,エレヴァテッツァ,牝3,津村 明秀,松永 幹夫
2020年4月26日,サンケイスポーツ賞フローラステークス,GⅡ,12,セイウンヴィーナス,牝3,野中 悠太郎,本間 忍
2020年4月26日,サンケイスポーツ賞フローラステークス,GⅡ,13,レッドサーシャ,牝3,石川 裕紀人,黒岩 陽一
2020年4月26日,サンケイスポーツ賞フローラステークス,GⅡ,14,テイエムフローラ,牝3,古川 吉洋,鈴木 孝志
2020年4月26日,サンケイスポーツ賞フローラステークス,GⅡ,15,シャンドフルール,牝3,田中 勝春,松永 幹夫
2020年4月26日,サンケイスポーツ賞フローラステークス,GⅡ,16,ウィスパリンホープ,牝3,横山 典弘,昆 貢
2020年4月26日,サンケイスポーツ賞フローラステークス,GⅡ,17,リヴァージュ,牝3,大野 拓弥,田村 康仁
2020年4月26日,読売マイラーズカップ,GⅡ,1,インディチャンプ,牡5,福永 祐一,音無 秀孝
2020年4月26日,読売マイラーズカップ,GⅡ,2,ベステンダンク,牡8,藤岡 佑介,安達 昭夫
2020年4月26日,読売マイラーズカップ,GⅡ,3,ヴァンドギャルド,牡4,岩田 望来,藤原 英昭
2020年4月26日,読売マイラーズカップ,GⅡ,4,ロードクエスト,牡7,松若 風馬,小島 茂之
2020年4月26日,読売マイラーズカップ,GⅡ,5,ヴァルディゼール,牡4,北村 友一,渡辺 薫彦
2020年4月26日,読売マイラーズカップ,GⅡ,6,レッドヴェイロン,牡5,浜中 俊,石坂 正
2020年4月26日,読売マイラーズカップ,GⅡ,7,ランスオブプラーナ,牡4,太宰 啓介,本田 優
2020年4月26日,読売マイラーズカップ,GⅡ,8,ブラックムーン,牡8,武 豊,西浦 勝一
2020年4月26日,読売マイラーズカップ,GⅡ,9,リコーワルサー,牡5,真島 大輔,荒山 勝徳
2020年4月26日,読売マイラーズカップ,GⅡ,10,カルヴァリオ,せん7,幸 英明,大竹 正博
2020年4月26日,読売マイラーズカップ,GⅡ,11,タイムトリップ,牡6,藤岡 康太,菊川 正達
2020年4月26日,読売マイラーズカップ,GⅡ,除外,フィアーノロマーノ,牡6,川田 将雅,高野 友和
2020年5月2日,テレビ東京杯 青葉賞,GⅡ,1,オーソリティ,牡3,L.ヒューイットソン,木村 哲也
2020年5月2日,テレビ東京杯 青葉賞,GⅡ,2,ヴァルコス,牡3,三浦 皇成,友道 康夫
2020年5月2日,テレビ東京杯 青葉賞,GⅡ,3,フィリオアレグロ,牡3,D.レーン,堀 宣行
2020年5月2日,テレビ東京杯 青葉賞,GⅡ,4,ブルーミングスカイ,牡3,北村 宏司,角居 勝彦
2020年5月2日,テレビ東京杯 青葉賞,GⅡ,5,メイショウボサツ,牡3,吉田 豊,西浦 勝一
2020年5月2日,テレビ東京杯 青葉賞,GⅡ,6,サーストンカイドー,牡3,内田 博幸,橋田 満
2020年5月2日,テレビ東京杯 青葉賞,GⅡ,7,ロールオブサンダー,牡3,田辺 裕信,橋口 慎介
2020年5月2日,テレビ東京杯 青葉賞,GⅡ,8,フライライクバード,牡3,福永 祐一,友道 康夫
2020年5月2日,テレビ東京杯 青葉賞,GⅡ,9,フィロロッソ,牡3,田中 勝春,中竹 和也
2020年5月2日,テレビ東京杯 青葉賞,GⅡ,10,アイアンバローズ,牡3,武藤 雅,角居 勝彦
2020年5月2日,テレビ東京杯 青葉賞,GⅡ,11,ディアマンミノル,牡3,蛯名 正義,本田 優
2020年5月2日,テレビ東京杯 青葉賞,GⅡ,12,コンドゥクシオン,牡3,石橋 脩,中舘 英二
2020年5月2日,テレビ東京杯 青葉賞,GⅡ,13,プリマヴィスタ,牡3,石川 裕紀人,矢作 芳人
2020年5月2日,テレビ東京杯 青葉賞,GⅡ,14,アラタ,牡3,大野 拓弥,和田 勇介
2020年5月2日,テレビ東京杯 青葉賞,GⅡ,15,ダノンセレスタ,牡3,丸山 元気,音無 秀孝
2020年5月2日,テレビ東京杯 青葉賞,GⅡ,16,レアリザトゥール,牡3,武士沢 友治,小手川 準
2020年5月2日,テレビ東京杯 青葉賞,GⅡ,17,アピテソーロ,牡3,江田 照男,奥平 雅士
2020年5月2日,テレビ東京杯 青葉賞,GⅡ,18,ディアスティマ,牡3,津村 明秀,高野 友和
2020年5月3日,天皇賞（春）,GⅠ,1,フィエールマン,牡5,C.ルメール,手塚 貴久
2020年5月3日,天皇賞（春）,GⅠ,2,スティッフェリオ,牡6,北村 友一,音無 秀孝
2020年5月3日,天皇賞（春）,GⅠ,3,ミッキースワロー,牡6,横山 典弘,菊沢 隆徳
2020年5月3日,天皇賞（春）,GⅠ,4,ユーキャンスマイル,牡5,浜中 俊,友道 康夫
2020年5月3日,天皇賞（春）,GⅠ,5,トーセンカンビーナ,牡4,藤岡 康太,角居 勝彦
2020年5月3日,天皇賞（春）,GⅠ,6,キセキ,牡6,武 豊,角居 勝彦
2020年5月3日,天皇賞（春）,GⅠ,7,モズベッロ,牡4,池添 謙一,森田 直行
2020年5月3日,天皇賞（春）,GⅠ,8,メイショウテンゲン,牡4,幸 英明,池添 兼雄
2020年5月3日,天皇賞（春）,GⅠ,9,ダンビュライト,せん6,松若 風馬,音無 秀孝
2020年5月3日,天皇賞（春）,GⅠ,10,エタリオウ,牡5,川田 将雅,友道 康夫
2020年5月3日,天皇賞（春）,GⅠ,11,メロディーレーン,牝4,岩田 望来,森田 直行
2020年5月3日,天皇賞（春）,GⅠ,12,ミライヘノツバサ,牡7,木幡 巧也,伊藤 大士
2020年5月3日,天皇賞（春）,GⅠ,13,ハッピーグリン,牡5,和田 竜二,森 秀行
2020年5月3日,天皇賞（春）,GⅠ,14,シルヴァンシャー,牡5,M.デムーロ,池江 泰寿
2020年5月9日,京都新聞杯,GⅡ,1,ディープボンド,牡3,和田 竜二,大久保 龍志
2020年5月9日,京都新聞杯,GⅡ,2,マンオブスピリット,牡3,北村 友一,斉藤 崇史
2020年5月9日,京都新聞杯,GⅡ,3,ファルコニア,牡3,川田 将雅,角居 勝彦
2020年5月9日,京都新聞杯,GⅡ,4,アドマイヤビルゴ,牡3,藤岡 康太,友道 康夫
2020年5月9日,京都新聞杯,GⅡ,5,イロゴトシ,牡3,小崎 綾也,牧田 和弥
2020年5月9日,京都新聞杯,GⅡ,6,メイショウダジン,牡3,幸 英明,松永 昌博
2020年5月9日,京都新聞杯,GⅡ,7,キングオブドラゴン,牡3,坂井 瑠星,矢作 芳人
2020年5月9日,京都新聞杯,GⅡ,8,サペラヴィ,牡3,秋山 真一郎,相沢 郁
2020年5月9日,京都新聞杯,GⅡ,9,キッズアガチャー,牡3,高倉 稜,田所 秀孝
2020年5月9日,京都新聞杯,GⅡ,10,ホウオウエクレール,牡3,川須 栄彦,宮 徹
2020年5月9日,京都新聞杯,GⅡ,11,アンセッドヴァウ,牡3,藤岡 佑介,中竹 和也
2020年5月9日,京都新聞杯,GⅡ,12,プレシオーソ,牡3,北村 宏司,清水 久詞
2020年5月9日,京都新聞杯,GⅡ,13,シルヴェリオ,牡3,西村 淳也,池添 学
2020年5月10日,ＮＨＫマイルカップ,GⅠ,1,ラウダシオン,牡3,M.デムーロ,斉藤 崇史
2020年5月10日,ＮＨＫマイルカップ,GⅠ,2,レシステンシア,牝3,C.ルメール,松下 武士
2020年5月10日,ＮＨＫマイルカップ,GⅠ,3,ギルデッドミラー,牝3,福永 祐一,松永 幹夫
2020年5月10日,ＮＨＫマイルカップ,GⅠ,4,タイセイビジョン,牡3,石橋 脩,西村 真幸
2020年5月10日,ＮＨＫマイルカップ,GⅠ,5,ルフトシュトローム,牡3,D.レーン,堀 宣行
2020年5月10日,ＮＨＫマイルカップ,GⅠ,6,シャインガーネット,牝3,田辺 裕信,栗田 徹
2020年5月10日,ＮＨＫマイルカップ,GⅠ,7,ウイングレイテスト,牡3,横山 武史,青木 孝文
2020年5月10日,ＮＨＫマイルカップ,GⅠ,8,ラインベック,牡3,武士沢 友治,友道 康夫
2020年5月10日,ＮＨＫマイルカップ,GⅠ,9,ボンオムトゥック,牝3,田中 勝春,高橋 亮
2020年5月10日,ＮＨＫマイルカップ,GⅠ,10,ソウルトレイン,牡3,藤井 勘一郎,西村 真幸
2020年5月10日,ＮＨＫマイルカップ,GⅠ,11,メイショウチタン,牡3,吉田 豊,本田 優
2020年5月10日,ＮＨＫマイルカップ,GⅠ,12,ストーンリッジ,牡3,松田 大作,藤原 英昭
2020年5月10日,ＮＨＫマイルカップ,GⅠ,13,サトノインプレッサ,牡3,武 豊,矢作 芳人
2020年5月10日,ＮＨＫマイルカップ,GⅠ,14,サクセッション,牡3,横山 典弘,国枝 栄
2020年5月10日,ＮＨＫマイルカップ,GⅠ,15,プリンスリターン,牡3,原田 和真,加用 正
2020年5月10日,ＮＨＫマイルカップ,GⅠ,16,シャチ,牡3,木幡 育也,小桧山 悟
2020年5月10日,ＮＨＫマイルカップ,GⅠ,17,ハーモニーマゼラン,牡3,大野 拓弥,牧 光二
2020年5月10日,ＮＨＫマイルカップ,GⅠ,18,ニシノストーム,牡3,江田 照男,杉浦 宏昭
2020年5月10日,新潟大賞典,GⅢ,1,トーセンスーリヤ,牡5,横山 和生,小野 次郎
2020年5月10日,新潟大賞典,GⅢ,2,アトミックフォース,牡4,武藤 雅,武藤 善則
2020年5月10日,新潟大賞典,GⅢ,3,プレシャスブルー,牡6,石川 裕紀人,相沢 郁
2020年5月10日,新潟大賞典,GⅢ,4,ブラヴァス,牡4,柴山 雄一,友道 康夫
2020年5月10日,新潟大賞典,GⅢ,5,インビジブルレイズ,牡6,吉田 隼人,吉村 圭司
2020年5月10日,新潟大賞典,GⅢ,6,レッドガラン,牡5,鮫島 克駿,安田 隆行
2020年5月10日,新潟大賞典,GⅢ,7,メートルダール,牡7,菅原 明良,戸田 博文
2020年5月10日,新潟大賞典,GⅢ,8,ブラックスピネル,せん7,丸田 恭介,音無 秀孝
2020年5月10日,新潟大賞典,GⅢ,9,エアウィンザー,牡6,三浦 皇成,角居 勝彦
2020年5月10日,新潟大賞典,GⅢ,10,カツジ,牡5,丸山 元気,池添 兼雄
2020年5月10日,新潟大賞典,GⅢ,11,ドゥオーモ,牡7,勝浦 正樹,野中 賢二
2020年5月10日,新潟大賞典,GⅢ,12,ケイデンスコール,牡4,中谷 雄太,安田 隆行
2020年5月10日,新潟大賞典,GⅢ,13,ギベオン,牡5,岩田 望来,藤原 英昭
2020年5月10日,新潟大賞典,GⅢ,14,ダイワキャグニー,牡6,内田 博幸,菊沢 隆徳
2020年5月10日,新潟大賞典,GⅢ,15,サラス,牝5,松若 風馬,西村 真幸
2020年5月10日,新潟大賞典,GⅢ,16,シャイニープリンス,牡10,団野 大成,深山 雅史
2020年5月16日,京王杯スプリングカップ,GⅡ,1,ダノンスマッシュ,牡5,D.レーン,安田 隆行
